#META:MapName:Default
ObjectId,PosX,PosY,PosZ,RotPitch,RotYaw,RotRoll,ScaleX,ScaleY,ScaleZ,Properties
KillZone,0.00,0.00,-700.00,0.00,0.00,-0.00,1.00,1.00,1.00,
MovingPlatform,0.00,970.00,-90.00,0.00,0.00,-0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
MovingPlatform,0.00,1630.00,60.00,0.00,0.00,-0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
MovingPlatform,-280.00,2280.00,180.00,0.00,17.27,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
MovingPlatform,-770.00,2730.00,340.00,0.00,49.80,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
RotatingObstacle,-1700.00,2720.00,730.00,0.00,0.00,-0.00,1.00,1.00,1.00,RotationSpeed=90.0|RotationAxis=0.00;1.00;0.00|bKillOnHit=0|KnockbackForce=800.0
RotatingObstacle,-1700.00,3220.00,730.00,0.00,0.00,-0.00,1.00,1.00,1.00,RotationSpeed=90.0|RotationAxis=0.00;1.00;0.00|bKillOnHit=0|KnockbackForce=800.0
PushWind,-2340.00,1890.00,920.00,0.00,0.00,-0.00,1.00,1.00,1.00,WindForce=500.0
Checkpoint,0.00,0.00,370.00,0.00,0.00,-0.00,1.00,1.00,1.00,CheckpointOrder=0|RespawnOffset=0.00;0.00;100.00
Checkpoint,-1290.00,2980.00,840.00,0.00,-90.01,0.00,1.00,1.00,1.00,CheckpointOrder=0|RespawnOffset=0.00;0.00;100.00
MovingPlatform,-1670.00,-1790.00,610.00,0.00,-87.40,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
MovingPlatform,290.00,-3300.00,610.00,0.00,-87.40,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
Checkpoint,-510.00,-3240.00,880.00,0.00,0.00,-0.00,1.00,1.00,1.00,CheckpointOrder=0|RespawnOffset=0.00;0.00;100.00
End,2530.00,-3300.00,-370.00,0.00,95.82,0.00,1.00,1.00,1.00,
PushWind,1180.00,-3290.00,70.00,0.00,0.00,-0.00,1.00,1.00,1.00,WindForce=500.0
MovingPlatform,1050.00,150.00,-90.00,0.00,-84.01,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
MovingPlatform,1860.00,220.00,-90.00,0.00,-84.01,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
MovingPlatform,2660.00,260.00,-90.00,0.00,-84.01,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
MovingPlatform,3440.00,280.00,-90.00,0.00,-84.01,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
MovingPlatform,4010.00,-450.00,-90.00,0.00,-130.62,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
MovingPlatform,4320.00,-1170.00,-90.00,0.00,-149.94,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
MovingPlatform,4510.00,-1980.00,-90.00,0.00,-162.37,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
MovingPlatform,4460.00,-2830.00,-90.00,0.00,-175.12,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
RotatingObstacle,4370.00,-2140.00,200.00,0.00,0.00,-0.00,1.00,1.00,1.00,RotationSpeed=90.0|RotationAxis=0.00;1.00;0.00|bKillOnHit=0|KnockbackForce=800.0
MovingPlatform,4210.00,-3690.00,-620.00,0.00,122.79,0.00,1.00,1.00,1.00,MoveOffset=0.00;0.00;300.00|MoveSpeed=200.0|PauseTime=0.5
PushWind,3360.00,-3370.00,-390.00,0.00,0.00,-0.00,1.00,1.00,1.00,WindForce=500.0
